frame,kp0_x,kp0_y,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,kp7_x,kp7_y,kp8_x,kp8_y,kp9_x,kp9_y,kp10_x,kp10_y,kp11_x,kp11_y,kp12_x,kp12_y,kp13_x,kp13_y,kp14_x,kp14_y,kp15_x,kp15_y,kp16_x,kp16_y
0,321.22,105.84,3.0,3.76,-7.8,-5.21,0.51,-1.26,-0.07,-3.41,293.52,153.11,350.26,154.51,276.87,206.56,366.48,206.16,273.51,269.8,369.26,267.28,299.89,249.38,343.29,248.59,297.13,341.46,346.65,341.72,303.57,428.37,342.95,426.74
1,322.46,114.76,-0.46,-3.36,-3.3,2.6,2.97,2.17,-2.66,0.93,290.47,151.12,353.49,151.14,277.72,210.51,366.16,212.77,264.17,268.96,368.12,267.69,293.9,256.32,341.54,254.21,288.1,338.76,345.82,342.44,297.84,433.17,343.61,428.15
2,323.43,110.2,-5.1,-4.53,-3.68,1.99,0.57,2.76,-1.71,0.63,292.5,149.73,351.83,148.32,273.55,209.44,360.22,212.92,268.12,271.02,371.92,272.75,297.66,250.96,343.31,251.04,287.57,334.6,340.39,336.4,296.6,426.38,343.49,435.2
3,318.57,115.11,-3.73,-0.82,-3.8,-1.36,3.36,-6.91,1.74,0.95,287.62,146.38,350.29,150.04,275.93,212.25,371.41,211.2,265.91,272.88,370.88,277.6,298.34,254.45,350.85,248.27,290.93,337.16,344.95,335.36,297.54,429.11,339.12,425.94
4,321.25,117.15,7.99,11.66,1.66,-3.96,-8.53,1.07,-3.25,-1.66,287.55,153.24,354.26,154.43,274.37,209.66,358.3,211.85,269.78,280.87,370.52,277.73,293.0,250.58,341.14,252.42,300.85,338.23,351.01,337.91,298.73,431.54,344.37,429.84
5,317.38,117.63,-1.82,-4.9,-5.11,0.69,6.32,0.64,-0.47,1.14,295.22,156.73,348.36,160.27,276.72,221.99,365.73,210.95,264.53,282.45,376.89,275.13,293.47,264.03,340.57,254.61,293.48,340.76,349.07,341.69,296.35,435.63,345.36,432.58
6,311.8,118.08,-3.37,-4.88,-3.51,-1.34,3.66,-5.31,0.12,-1.94,288.69,162.28,352.15,163.62,274.38,215.49,364.1,219.24,270.71,273.93,370.36,279.18,305.07,269.09,341.59,260.43,283.36,340.95,352.05,348.13,292.08,427.38,336.41,429.35
7,315.75,118.9,-3.51,-0.38,-7.03,-5.87,8.52,-5.15,-4.39,7.35,301.62,156.33,348.53,162.39,281.91,217.07,364.02,224.13,271.74,279.52,369.46,275.52,294.05,264.36,345.93,263.21,289.17,348.46,353.34,345.82,295.21,430.0,342.11,431.27
8,319.61,132.41,6.29,1.54,-3.05,-4.45,4.76,1.05,1.92,-6.98,293.71,165.86,345.56,162.15,276.05,224.25,363.83,223.63,268.99,284.65,375.89,273.77,294.05,270.36,346.18,268.17,278.14,346.93,361.74,339.48,298.46,428.69,344.75,425.79
9,318.66,132.47,2.33,6.93,4.71,1.76,6.98,1.76,3.31,-1.19,290.27,164.48,353.96,162.56,278.13,226.51,369.68,230.28,277.28,290.2,363.71,287.01,290.31,272.11,351.04,276.73,280.11,342.85,357.22,342.04,292.32,431.25,349.62,432.44
10,310.83,131.88,0.29,1.66,6.46,-8.25,-2.36,2.36,-6.33,5.9,291.47,174.05,347.72,173.91,279.27,231.59,365.94,231.74,266.55,290.07,369.39,292.19,299.0,274.69,344.5,284.85,277.56,344.97,360.27,351.64,295.05,435.32,348.43,433.37
11,322.22,143.44,-0.82,-8.01,6.42,-1.83,0.43,5.24,-6.41,-5.01,283.59,170.95,351.76,176.22,276.11,228.48,355.76,234.34,268.11,295.97,372.81,294.68,298.04,284.7,347.12,280.96,277.39,350.44,365.17,348.08,297.08,428.94,344.53,433.32
12,312.03,132.43,-5.93,-9.33,-2.71,3.0,-1.14,0.79,4.36,5.31,289.72,183.03,350.37,174.26,272.62,231.69,361.45,236.18,273.21,304.5,364.47,299.18,290.84,290.56,344.48,281.33,279.38,348.63,362.19,346.77,292.38,431.71,344.24,431.31
13,321.45,146.33,-1.37,-5.91,4.27,-1.33,4.46,1.53,-0.52,1.4,297.8,189.36,350.28,181.69,279.3,237.67,366.33,240.94,271.26,297.71,363.64,292.76,290.53,291.63,343.83,301.22,277.69,348.57,368.12,350.79,293.86,430.74,347.48,428.64
14,324.26,139.8,0.03,10.39,0.89,5.73,0.37,2.32,-0.23,-0.68,286.88,186.09,346.59,187.03,279.34,245.83,363.86,246.18,268.77,308.11,362.67,303.02,287.04,292.13,350.46,301.69,268.07,347.74,357.2,351.57,304.68,431.74,342.76,431.86
15,313.76,146.31,0.4,-0.34,3.16,1.38,2.67,-2.75,3.59,6.52,286.12,183.95,355.34,186.73,280.62,245.73,370.82,248.03,271.03,313.76,368.55,303.74,293.21,304.31,338.74,305.05,266.59,359.59,361.67,351.85,288.25,426.7,345.99,429.28
16,318.99,149.75,0.81,-4.03,2.83,2.65,1.54,2.23,1.19,8.14,289.65,189.16,346.99,186.26,270.02,246.84,364.72,251.73,270.2,307.33,373.6,313.35,294.36,303.94,347.19,307.3,260.93,355.88,374.32,352.56,295.76,424.18,350.34,434.99
17,318.99,154.44,-9.64,-4.63,-1.18,-4.29,2.86,7.99,-4.71,-3.35,290.94,199.43,345.11,193.98,282.29,246.38,359.88,251.29,267.92,316.23,370.97,305.88,297.06,307.87,350.1,307.67,262.37,359.36,378.14,358.99,288.26,432.15,340.86,430.94
18,314.31,157.01,-3.23,-5.13,2.86,0.97,-2.46,5.8,-1.76,0.13,291.08,192.75,351.88,193.09,273.35,260.68,360.84,245.57,276.44,325.42,368.38,307.48,293.76,312.17,344.24,308.86,265.66,360.19,370.68,360.89,303.21,430.69,343.65,429.43
19,322.46,150.15,0.66,-1.56,7.39,-0.7,6.67,-4.41,2.35,1.28,286.52,197.78,354.85,195.78,268.23,257.0,361.39,255.7,269.67,310.25,363.54,319.0,292.91,305.64,348.14,316.99,259.19,353.56,381.29,360.23,304.53,431.68,346.55,429.33
